"Grad Oechsle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34","A35","A36","A37","A38","A39","A40","A41","A42","A43","A44","A45","A46","A47","A48","A49","A50","A51","A52","A53","A54","A55","A56","A57","A58","A59","A60","A61","A62","A63","A64","A65","A66","A67","A68","A69","A70","A71","A72","A73","A74","A75","A76","A77","A78","A79","A80","A81","A82","A83","A84","A85","A86","A87","A88","A89","A90","A91","A92","A93","A94","A95","A96","A97","A98","A99","A100","A101","A102","A103","A104","A105","A106","A107","A108","A109","A110","A111","A112","A113","A114","A115","A116","A117","A118","A119","A120"
51,2.40323275874037e-05,1.99498976076917e-05,8.24027548519894e-05,1.98248520922574e-05,3.93340202977879e-05,2.28661516440893e-05,7.17509141713637e-05,1.94914184436427e-05,5.34155895953668e-05,1.29751399736894e-05,1.3343662598501e-05,6.85396448088384e-05,6.1198789543665e-05,1.89457351408266e-05,1.15920205915446e-05,1.72005794159246e-05,3.22808624551687e-05,3.54037988092863e-05,8.24280936345104e-06,7.83780399427341e-05,2.5443515290293e-05,3.51556927856889e-05,8.26283934745047e-05,4.86628511708848e-05,2.62821833431303e-05,2.07775446177965e-05,7.92038848240839e-05,1.87374233967358e-06,5.21776554417112e-05,4.61403253181577e-06,3.67918086108385e-05,7.21116881678744e-05,1.66971423345208e-05,3.18043603886202e-05,2.97654376746306e-05,7.77468848757318e-05,3.47159313029516e-05,1.46662533945556e-05,6.33986329576273e-05,2.90687426948959e-06,4.82948872410102e-05,7.15867093437063e-05,6.20472440779143e-05,7.72250171071767e-05,4.06881655861607e-05,6.66844057512457e-05,6.8563837307497e-05,8.01892721524336e-05,2.2016900102735e-05,6.67382706637045e-05,2.59555799025888e-05,5.01465603912957e-05,7.16367740059652e-05,3.81834801660189e-05,2.28019396290155e-05,7.30001177393083e-06,4.94561667331755e-06,1.93975669947757e-05,7.03026533994963e-05,4.83172541844075e-05,2.02406079046702e-05,1.59451140634594e-05,7.08202650154669e-05,4.08662147591713e-05,7.32142437905162e-06,6.02142500641654e-05,1.73081977703646e-05,7.1861116971454e-05,4.80789465889622e-05,3.85115428599868e-06,4.41468485088818e-06,5.29320809214869e-05,6.88064091108205e-05,3.63918240906721e-05,5.90829899276901e-05,5.32188524327793e-05,6.78575290546226e-05,9.92434505953891e-06,7.33426545119176e-05,4.72445142391593e-05,5.81070065905013e-05,1.29345594469267e-05,2.59243775666984e-05,3.81487207564042e-05,5.84962141199863e-05,5.07624612225139e-05,2.8371699975525e-05,1.91091318318429e-05,3.45304338629183e-05,1.11667949641578e-05,8.13364058678197e-05,4.52268536480643e-05,3.50249997699807e-05,3.76794600875963e-05,4.84838711639329e-05,3.07308224634055e-05,9.88728697262882e-06,5.62826550118836e-05,8.21075714542984e-05,1.75631029872086e-05,8.28263695762896e-05,3.78005237390345e-05,7.0468597937111e-05,5.80141556713777e-05,6.93333523175946e-05,7.00310579642902e-05,4.35412850516629e-05,8.00277857529206e-05,2.19461047140231e-05,5.09766395747593e-05,5.06063512645869e-05,5.2057769011133e-05,3.24404290291352e-05,5.89378910893076e-05,7.2441321040944e-06,2.40948968479034e-05,6.62550015861698e-05,4.99554951283502e-06,2.2902618192256e-05,2.44228255788345e-06
52,6.58772189342511e-05,8.04225768656751e-05,1.14544779883609e-05,5.73687435516909e-05,3.05730373351571e-05,4.96283738141428e-05,7.41571215632863e-05,1.92752997190146e-05,1.04311795291703e-05,7.06862220871753e-05,1.20769254774219e-05,5.9895019513333e-05,5.09524086480691e-05,5.18421749507446e-05,4.65636956790912e-05,7.8766264979329e-05,4.53259372047761e-05,1.8178977317678e-05,5.2100573888568e-05,4.21042589240123e-05,6.95971429903878e-05,4.05428149517491e-06,8.31646639720342e-05,7.49643568287866e-05,3.41648225652414e-05,8.2687628563321e-05,2.70765101560988e-05,4.4154624085448e-05,1.37587560478488e-05,8.19999447137917e-05,3.32093356505272e-05,4.80535340635348e-05,2.16971919936197e-05,6.57487764197339e-05,1.31418000315247e-05,4.93925406920769e-05,8.63734227874734e-06,1.63624988547265e-05,3.67361607933692e-06,2.00726109404783e-05,4.08519189476823e-05,4.38731642815333e-05,1.88275261181513e-05,7.2830251285427e-05,4.27813225108575e-05,7.34677864563729e-05,5.84987646127682e-05,3.71179318079992e-05,5.98627832396331e-05,6.93434668673822e-05,2.71195478587625e-05,3.14019777452496e-05,3.49406482558816e-05,7.30401130898423e-05,6.53750918693104e-05,3.45262996682591e-05,5.35109161553038e-05,1.29150281809491e-05,4.62677971503242e-05,6.00963140848158e-05,4.0115386512845e-05,2.34701045873662e-05,2.67987258426174e-05,3.65766433489115e-05,1.50031701405014e-05,1.539428268858e-05,3.99205452823241e-05,3.1254583206528e-05,6.05957994414747e-05,6.88701958491917e-05,7.82344199706671e-06,3.48451785101801e-05,6.15939091917685e-05,1.03527356779837e-05,4.55189901795479e-05,7.6999246914864e-06,3.67376837108563e-06,1.08844696636843e-05,2.24686339895249e-05,7.35730370603466e-05,3.16162714010471e-05,7.69100395568573e-05,3.59268721478873e-05,5.1961944015304e-05,1.0098751371893e-05,8.92978409418873e-06,1.09947494365813e-05,2.4836829559435e-05,3.20509165659226e-05,4.25848196911628e-05,1.94245691759931e-05,4.48054989589983e-05,1.05815949392383e-05,2.25581032029493e-05,4.69493405700839e-05,3.62406242623277e-05,1.31714279855515e-05,6.17208870242917e-05,1.35211390868253e-05,8.14801372909071e-05,2.52568631608733e-05,3.99370589457701e-05,2.62645728171891e-05,6.12181737324319e-05,5.93232495309424e-08,1.38816297471351e-05,4.23746369980903e-05,1.83147547413889e-06,3.2031351308162e-06,2.20697024168828e-05,1.10084780114087e-05,7.60151531032453e-05,8.31091659947025e-07,3.86137406438405e-05,8.44096229255325e-06,3.4329063933579e-05,1.83555172321779e-05,3.4844792070111e-05,7.98981128020159e-05,2.80896589257423e-05
53,3.4177453635485e-05,5.02550342607349e-05,7.56550665890852e-05,1.88712327798813e-05,1.01344838570978e-05,1.33863519972687e-05,4.08724823419468e-05,5.15835186326667e-06,2.13320948532775e-05,1.79153802248782e-05,1.24667326204012e-05,6.58788666504191e-05,1.87503689931221e-05,3.12440980743148e-05,2.11367661607431e-05,3.16993957864881e-05,6.21958693837963e-05,2.6679157070796e-05,2.14246028192438e-05,2.70992617689572e-05,4.96100369303032e-05,5.4396651172616e-05,2.68619392347564e-05,3.56405055221192e-05,2.48689854747699e-05,5.99285662899267e-05,1.49302660354424e-05,3.49702088684313e-05,1.13058013153885e-05,2.15827831238581e-06,3.10495581390192e-05,5.67836693372284e-06,4.51750518052882e-05,8.23585422438762e-05,6.98645987439955e-05,6.66417041333368e-06,7.39174985422675e-05,4.01822974599175e-05,5.27844152073339e-05,3.60302781674275e-05,6.20234984729422e-05,7.78434309565495e-05,1.54892478499045e-05,6.84683755781748e-05,1.82907656875398e-05,2.02621315327523e-05,5.93722580352339e-05,7.96464088055944e-05,4.54165282054089e-05,1.3661248176635e-05,7.27255505817218e-05,4.98233048008712e-05,3.29583766131171e-05,3.98675160579459e-05,6.84831212603066e-05,8.19451063949698e-06,1.05725288812691e-05,5.90444943016235e-05,5.92969094793031e-05,5.2689460105398e-05,7.02377604980735e-05,3.35169548651466e-05,3.62648334942052e-05,3.48756646253896e-06,3.97834234028508e-05,3.52413040971374e-05,7.07508219626961e-05,5.17737910912692e-06,1.4179732663455e-05,3.55810673192662e-05,5.41290544319109e-05,1.38672895537017e-05,5.35033763030938e-05,6.88147251703553e-05,7.32807890389281e-05,6.62113985536532e-05,5.75611210686812e-05,8.33828730064687e-05,4.73553597115965e-05,1.53493378464846e-05,8.06178968219127e-05,2.51989479727935e-05,1.26242470985634e-05,2.65684723150886e-05,1.91386302201671e-05,4.31656571519004e-05,8.03623418892039e-05,4.67240334209596e-05,3.30305692256024e-05,5.97679068616547e-05,2.24623432721015e-05,6.89230378950056e-05,2.03360941111893e-06,4.90201997607548e-05,8.44065218320218e-06,3.68965055398408e-05,2.95440240536726e-05,5.27953720022889e-06,2.69007514494321e-05,7.07877835611966e-05,3.62484473339953e-05,3.84693331014257e-05,2.93630700327852e-05,1.73559049555753e-05,2.11434938292079e-05,2.11992169072475e-05,3.36790515212594e-05,4.8207370307794e-06,2.54533124731822e-05,4.02664146700383e-06,2.8815446999675e-05,2.28881370506397e-05,7.44470328685222e-05,1.63905454417438e-05,6.58753789028097e-05,4.59547204936653e-05,5.23280037243315e-05,1.84133831156338e-05,1.14936462314532e-05,5.23790150976323e-05
54,7.37921500582861e-05,4.30400926926525e-05,4.81604909304852e-05,2.66160104364173e-05,3.92717596484325e-06,7.13196047542074e-05,6.00096196087629e-05,4.15432933086274e-05,6.85739263877689e-05,5.59800823609522e-05,4.29903305708817e-05,1.53063473081494e-06,7.65627365798045e-05,7.40390951856403e-05,6.15113311459228e-06,5.2333743665911e-05,2.78559818983816e-05,2.01917523147588e-05,4.00514305743912e-05,3.69910705242909e-05,6.74559475432899e-05,4.19426644395798e-05,1.43752230261236e-05,1.98543318210969e-05,1.00403165395392e-05,5.44637415153603e-05,1.25226953142432e-05,8.14620838405546e-05,6.85431239174371e-06,4.25540120646647e-05,4.41915656624576e-05,4.3281793512478e-05,6.06191151583804e-05,4.24834530034832e-05,7.06174611076445e-05,7.06166567651634e-05,8.24952025394533e-05,2.75509218544691e-05,5.21924916388826e-05,5.71180174562529e-05,1.88537304750601e-05,7.05049062201591e-05,2.5962514790566e-05,2.3916023077434e-07,5.10551389957982e-05,4.67588006523811e-05,3.77426868468531e-05,1.3645513600184e-05,4.12137465921776e-06,5.11246362369581e-05,2.74666668482369e-05,5.24752302304043e-05,1.52049017797689e-06,5.77615378660922e-05,7.86432569473185e-05,7.65613885439116e-05,7.57683321324834e-05,2.3533159247413e-06,6.11850449166218e-05,8.13552752960776e-05,8.29060586513593e-05,4.55467781215907e-05,2.22796335668701e-05,1.68072203359301e-05,4.09644654296439e-05,5.34923789203544e-05,1.41377353000299e-05,7.19398895136475e-05,3.05252859820315e-05,2.79596421850193e-05,2.296202862964e-05,7.4222268342662e-05,3.87834868520329e-05,6.90882836067041e-05,2.73214531732757e-05,7.87499989675219e-05,3.50205221162762e-05,7.24342858898543e-05,1.89204216527061e-05,4.54294848729596e-05,4.40699272249521e-05,7.19149727390142e-05,3.01981773344817e-05,4.13794591606818e-05,3.06992104749691e-05,5.62624151135452e-05,1.59596479536295e-05,4.28984660944661e-05,2.35589912123736e-05,6.69450907191643e-05,9.35590267228759e-06,4.22236060779701e-05,6.70694067440859e-05,1.73071173881443e-05,5.94035216419454e-05,6.74947834179587e-05,5.07128451272634e-05,4.92920054897159e-06,8.40610512980902e-06,2.98482407628125e-05,1.34144390942413e-05,5.2413407018521e-05,5.75381258123735e-06,2.00567928341336e-05,5.82810494806908e-05,3.66747912462889e-05,7.24321462559668e-05,8.27568878814575e-05,5.60288972074214e-05,2.36170770209138e-05,4.74412970289539e-05,3.47990581789182e-05,5.96905303758008e-05,2.95633148088151e-05,4.81691427440019e-05,3.68156056996445e-05,1.69728963637541e-05,1.4691479441879e-05,6.30656307342003e-05,3.40389811323071e-05
55,7.85931315201265e-05,3.36423181949955e-05,3.30469381661627e-05,1.4539509476866e-05,2.19614066783954e-05,7.08440115154717e-05,4.06730948709814e-05,2.04010873340963e-05,6.71704579133042e-05,5.16247772050227e-05,4.11846769634004e-05,1.45818220668941e-05,6.70852711780981e-05,1.04904469559049e-05,6.37331512885105e-05,1.53349602367956e-05,2.71525724227277e-05,9.63027097697108e-08,3.98740104731229e-05,4.06954831978758e-05,2.45732858961921e-05,6.57162156188746e-05,3.10939143804133e-05,4.28321096395686e-05,2.32630356155475e-05,2.01028424383601e-05,9.58054588231127e-06,4.14230727390176e-06,6.36965445704501e-06,7.23043802693788e-05,6.166111972183e-06,7.51392874162357e-05,1.54277343971421e-05,6.75034802360511e-05,3.1705235232348e-05,2.48902554000142e-06,4.94434878759719e-05,6.71098771040055e-05,6.46249517474231e-05,6.9353175072353e-05,6.25834572933552e-05,1.49015599066587e-05,7.53779268936739e-05,5.42266923358009e-05,5.33991951269192e-05,7.5610271645499e-05,1.21673371407545e-05,6.03702131783685e-06,4.93707915157706e-06,5.3030616153966e-05,1.05046225022478e-05,6.38553879191324e-05,7.05309623713377e-05,6.4831114576527e-05,7.94972637776095e-05,5.39910361772529e-06,1.96355023733879e-05,1.32773438711749e-05,8.01907245569147e-05,3.00018683477243e-05,2.041024626143e-05,5.1844458393028e-06,1.7909208352223e-05,1.74777217769765e-05,5.90476446608437e-06,8.05489664671842e-05,2.24300149073263e-05,4.63691393802642e-05,4.24949569552371e-05,3.49881092487458e-05,8.1180694822047e-05,9.21980356217304e-06,4.7974360254862e-05,5.41762052375951e-05,1.70881372636368e-05,2.52956361108563e-05,8.01993508620012e-05,4.06147633176109e-06,4.71457245060959e-05,2.80282275630384e-06,3.70374746976418e-06,4.41354678770592e-05,2.03819081272602e-05,4.83914150514878e-05,7.17033010424087e-05,4.16213310290268e-05,5.34496248457502e-05,2.34825589664932e-06,8.21150717888719e-05,1.12186810372878e-05,2.3972760733338e-05,6.12539816338648e-05,3.66803307394724e-05,6.755499358646e-05,3.04975958320329e-05,2.09147371659335e-05,5.94725592643895e-06,5.03975409289463e-05,1.80158687493415e-05,1.45605676879775e-05,6.87788375526461e-05,5.64582583914735e-05,6.89545286843488e-05,5.08502405948647e-05,5.60798546063628e-05,5.99966037523148e-05,4.29443083624367e-05,8.57569494077695e-06,6.91437053506039e-05,5.71191308573946e-05,5.08984773280801e-05,4.75255690797207e-05,4.31227842908996e-05,6.61826255309087e-05,3.82512250111067e-05,8.06638875680147e-05,3.56710019691184e-05,8.14642765537689e-05,7.83048299116287e-05,6.38028288398319e-05
56,3.80707336442632e-06,7.35605941220715e-05,3.7589171238307e-05,6.69740050792365e-05,8.09475714696577e-05,3.99361272167963e-05,8.26245918817558e-05,6.33601793202657e-05,3.83031629183007e-06,4.17838995035393e-06,5.15066383256659e-05,5.00279997959096e-05,2.6107416585568e-05,1.32034862255858e-05,5.06731299997733e-05,5.50887754541665e-05,3.54114308693151e-05,1.87039909508327e-05,6.94026493049308e-05,7.03311940056141e-05,1.17902340326359e-05,4.57140093659054e-05,4.50389756352492e-05,5.55799333298958e-06,2.3027970256368e-05,7.25311183032866e-06,3.93838723897958e-05,5.33583800043198e-05,5.76651665501252e-05,2.52053817203236e-05,5.99058245418846e-05,2.5714603611682e-06,1.54932569540242e-05,8.04841518227453e-05,5.69768744675483e-05,6.80796233479001e-05,7.55980448576054e-05,5.87253840743089e-06,3.33417650100916e-05,1.32129507871074e-05,6.89327534742671e-05,4.11913952923942e-06,4.2652633823451e-05,3.42432520764485e-05,5.56118734839939e-05,6.85139446860765e-07,9.49970488078206e-06,5.34017051292029e-05,1.14571676003459e-05,1.67692249358208e-05,2.9768773694751e-05,1.67032479747609e-05,5.73871887539367e-05,3.58515913420356e-05,9.23791732994232e-06,3.25874058405599e-05,2.1739863180419e-05,7.99081901495773e-06,3.38764193899967e-05,4.75222396945162e-05,5.20662068923925e-05,6.24641088746773e-05,4.23239512415538e-05,5.02705959986011e-05,4.62579285399392e-05,4.78420836151054e-05,7.95071269788842e-05,8.2664426768504e-05,5.44129263682363e-05,3.00949612758897e-05,6.68656243710203e-05,1.24938519341506e-05,8.04886622813417e-05,2.99601257767418e-05,6.88457153056822e-05,4.70495537747255e-05,2.60366400119987e-05,5.06976068074944e-05,6.19338858986382e-05,5.8940781694491e-05,5.62123596545567e-05,5.87056651044218e-05,7.90039326653543e-05,8.55856977546837e-06,4.34586881712174e-05,5.29597136921108e-05,5.16309828943457e-05,5.36586261541151e-05,7.18381449859949e-05,7.5276418051463e-06,8.66887386990437e-06,6.15026998792423e-05,2.87327301264846e-05,7.84706238113593e-05,1.18547279635327e-05,1.34393015053706e-05,1.54333947781031e-05,6.95614169649837e-05,5.35468102328138e-05,3.77844969344279e-05,1.73897469956527e-05,1.22786874115984e-05,5.1165028281522e-05,3.98588042383282e-05,1.89557937899888e-05,7.13169867837478e-05,6.93198301256187e-05,1.42269773502798e-05,5.93230069576409e-05,3.44512757562311e-06,4.95085021516031e-05,3.64632974471484e-05,1.54841632473295e-05,5.05682473514991e-05,7.20424581134136e-05,2.30916916184423e-05,3.58194099182705e-05,3.8322988864045e-05,1.35164844890601e-05,4.59064211276226e-05
57,4.41328101165617e-05,3.04264914819466e-05,5.90410722027123e-05,1.22245241419562e-05,4.08226743594821e-05,6.46560361530352e-05,5.41113351789617e-06,4.57370841439171e-05,7.3166585287298e-05,7.93395199181485e-05,3.73903129651161e-05,6.73883899740524e-06,1.89909669965396e-05,5.33551459984626e-05,2.78276885158436e-05,6.13969433288854e-05,2.30899985863828e-05,8.09913155671005e-05,7.48417753771132e-05,7.93195166975706e-05,7.42604409008615e-05,3.7114878053932e-05,6.77942551310372e-05,5.51209601856609e-05,2.84366145717607e-05,2.47926943521875e-05,6.77984296799939e-05,4.1273759094667e-05,8.11242385371636e-05,5.17928971972876e-05,2.02913843708186e-05,9.16096148996999e-06,7.67431543593996e-05,3.4234974250373e-05,3.98378930460558e-05,3.26542180616412e-05,2.57003774959952e-05,2.84484312790491e-05,1.76830154321049e-05,6.3446415870382e-05,8.31865818425351e-06,5.89904605782267e-05,1.59030807430709e-06,5.92943082809768e-05,1.11058089385619e-05,1.36633313261803e-05,7.47415799758381e-05,2.82620348371048e-05,4.04427099876847e-05,4.79342944886083e-05,7.77768294183677e-05,6.5196527196416e-05,8.81074232147475e-07,3.79788151156593e-05,4.04882775584651e-05,6.72622079033714e-05,5.85392868845806e-05,2.0108754926666e-05,6.12162274061364e-05,6.63994287803881e-05,3.83402248382853e-05,5.76338908021014e-06,3.25007796593886e-05,7.01919600436927e-06,7.2532156443858e-05,7.86336181462913e-05,5.77758868541941e-05,2.30256169042528e-05,9.96400897559642e-06,1.9535783713192e-05,6.07015031849061e-05,1.43012154625681e-05,2.81874763809619e-05,3.39814252803734e-05,4.42405352912011e-05,2.96535889289803e-07,3.31482341268068e-05,1.85711561414843e-05,2.77492619815928e-05,3.85564727589287e-05,5.12369528511901e-05,5.5068609181991e-05,8.57590040913856e-06,6.14056199309146e-05,8.22823737602221e-06,1.37451191165804e-05,4.10927390748514e-05,7.19340505931328e-06,2.85188730325837e-05,6.588271840391e-06,1.34625041563058e-05,5.34249321600487e-05,8.26663600584546e-05,2.08806154281574e-06,1.12933791379791e-05,2.38005818264415e-05,3.20790473054648e-05,6.98805200709517e-05,2.70054311976992e-05,1.38420837224415e-05,2.38140847168441e-05,7.64360447685801e-05,4.52528205100089e-05,7.96228425768368e-05,7.36643037522477e-05,3.72032395866407e-05,6.63125530796837e-05,5.19328353358638e-05,6.96920136868547e-05,8.31561234733374e-05,9.08071089866471e-06,7.11095114087407e-05,7.94144803217738e-05,3.3974851557522e-05,4.3398120184234e-05,4.71955664025147e-05,1.4623358507969e-05,5.97283342000116e-05,3.29387738029004e-05,6.80168518683964e-05
58,7.45778279568654e-05,2.4087629708246e-05,6.89460362839275e-06,6.87529882707497e-05,3.99307134367836e-05,2.46860446565462e-05,1.31755901013375e-05,7.92282172007778e-05,1.06974856133574e-05,4.8682808219453e-05,4.6528012984941e-06,5.91091000921426e-05,5.49540289329369e-05,1.55545907581708e-05,7.60189255101474e-05,4.14230239791962e-05,5.23212091424486e-05,3.61351169007309e-05,4.82084493280082e-05,3.93079452536377e-05,6.92362652090058e-07,7.00131967902965e-05,5.83877970656623e-05,6.13906999314483e-05,1.53271825004767e-06,4.52996987198838e-05,7.24320800624662e-05,3.93292964322796e-07,6.62303335916948e-05,4.72357361287548e-05,7.05733100816681e-05,5.27727076551125e-05,1.11716665489655e-05,7.39994791538289e-05,1.26396850106101e-05,1.19840547119224e-05,5.64897433241901e-05,3.30781395291915e-05,5.37196979082717e-05,3.61270838855386e-05,2.30540657889826e-05,4.86597375080027e-06,1.02424791370208e-06,6.60803396252548e-05,1.19156576215298e-05,2.17133780945782e-05,1.62554770784527e-05,5.21737108188557e-05,6.63930347839814e-05,6.66623784338192e-05,7.31370712553599e-05,1.80508477727248e-05,7.41499917916812e-05,2.01200736844933e-05,1.18778078004245e-05,3.20950183456468e-05,8.14661061561343e-05,7.41597218082083e-05,5.33566094935655e-05,2.31933453197396e-06,7.08969251444393e-05,6.43241208300009e-05,3.51428664037584e-05,5.05524644822002e-05,2.84677787520207e-05,7.45802429884036e-06,7.60529553708776e-05,3.71080998355806e-05,4.19492285894735e-05,1.59735450280793e-05,3.38626932862376e-05,8.14726544678417e-05,8.53891884751882e-06,6.48395216959039e-05,6.32996350516473e-05,4.99293707795761e-05,6.14227448821936e-05,3.70715829515567e-05,1.21442430806268e-05,6.9343302337035e-05,3.59195730010846e-05,5.21490515606775e-05,2.13880495112831e-05,2.71601320240274e-05,6.01923226985357e-05,4.06244338339249e-05,7.97431034229152e-05,7.85629125527015e-05,2.35963536103798e-05,2.993075751838e-05,5.98641316646706e-05,5.77510765106156e-05,2.52758446627829e-05,1.96388264078539e-05,7.64192625758861e-05,4.37570501800282e-05,6.26803267144412e-05,2.38987016470342e-05,6.20268735437256e-05,7.88934603826117e-05,4.56456783328128e-05,6.60529546619277e-05,2.99169011290007e-05,6.44375858683908e-05,3.0544425165343e-05,5.92598134313349e-05,1.54329881025135e-05,7.75982290803685e-05,1.36090624232299e-05,3.51011688568089e-05,7.04093236030593e-05,5.46624334875961e-05,3.54997873236864e-05,2.85099989202005e-05,2.91327671033464e-05,2.11223608244996e-06,2.90755966018768e-05,6.9819357256953e-05,2.26764271011177e-05,2.45640050498476e-05
59,4.60824159867046e-05,1.42605103122394e-05,2.83557319706711e-05,2.76608833848924e-05,6.25752520816666e-05,5.48442131955471e-06,6.56301482104693e-05,7.20125256926327e-06,5.08789272858744e-05,7.19483798905167e-05,4.50959722474434e-07,4.71047689217444e-05,6.14837076174838e-05,5.55317754568385e-05,4.93074941073072e-05,7.25972371659337e-05,3.64339218923248e-06,8.05018155447567e-05,7.88712302819215e-05,3.10089715805149e-05,4.75603724626779e-05,5.64699363492463e-05,7.52074610014133e-05,1.82864049717948e-05,6.35866337455713e-05,6.52373522811179e-05,5.4067879398771e-06,1.54951955363416e-05,5.47070357267643e-05,3.74482616196336e-05,8.31769279426966e-05,3.9387387552644e-05,5.39005814550676e-07,2.3809538515314e-06,5.32981915890029e-05,5.57030136260631e-05,6.14896471124266e-05,2.9811378629678e-05,3.77022769989226e-05,2.20559060530618e-05,1.78641809141811e-06,1.01156924328798e-05,1.11120746729004e-05,4.65956181271088e-05,8.35443979118423e-05,6.45785941935982e-05,8.4184558213509e-06,6.33291077953407e-06,4.05731533865737e-05,4.64759271638754e-05,6.85440096884308e-05,4.14999467224182e-05,1.22460157628929e-05,2.36479297298166e-05,3.09379545739395e-05,9.38102900130105e-06,7.96856895114831e-07,7.66056669369236e-05,5.23562869891092e-05,5.61684093299202e-05,6.07568733671432e-05,3.38578409057171e-06,7.62190849078467e-06,8.33847719933207e-05,3.62045707522652e-05,1.89070784478e-05,3.72359452076719e-05,1.84761851624477e-05,1.1674341354422e-05,1.55529896615288e-05,8.00912628099997e-05,8.03334730006812e-05,1.01795404226148e-05,4.809894130673e-05,2.59838491970745e-05,1.13928999375908e-05,5.77770322235667e-05,7.26959705897699e-05,7.582753173131e-05,5.7559148338923e-05,3.29192507089599e-05,4.09323979474248e-06,7.26478249942255e-05,7.97803140350607e-05,8.2068583968884e-05,4.65699967477616e-05,1.20872448340252e-05,7.64581304966147e-05,2.4203896957618e-05,3.34301441126801e-05,8.33045188336608e-05,7.07919076575527e-05,3.73319672857958e-05,7.84647551018237e-05,6.0522064356985e-05,5.69206548215109e-05,2.39562888251101e-05,1.55250580278335e-05,8.28684658602783e-05,3.22062556478062e-05,4.92254474773603e-05,6.84376487186435e-05,2.47675399853039e-05,7.89514310043431e-06,4.90990981328625e-05,3.62035803597392e-05,7.10010869412116e-05,6.42141828817419e-05,6.51614975842315e-05,5.74013850611453e-06,6.47191818534668e-05,2.22828334447437e-05,7.44127660576303e-05,5.26512297397646e-05,7.95726500805688e-05,1.96131745001109e-05,6.39997275752674e-05,3.67107161440531e-05,4.1081314352943e-05,6.06612292651928e-05
60,3.81584586141955e-05,1.43880780685558e-05,5.68921709915938e-05,3.12686516602702e-05,5.57934735044147e-05,3.68145478294406e-05,4.53096841125705e-05,7.92128146425201e-05,3.92408451044489e-05,4.3327360129854e-05,1.85382786158153e-05,2.36337399213233e-05,3.88670765377011e-05,4.27890645431571e-05,7.90910678866085e-05,6.95151761934606e-05,5.06870032196576e-05,2.13784193687238e-05,2.43881428696253e-05,1.88787615998412e-05,8.08564004295053e-05,4.31728987052987e-06,6.04414058642846e-05,1.58626194696783e-05,3.73687712807235e-05,2.27172998754932e-05,6.11682650004238e-05,5.30031886960459e-05,5.76734920658744e-05,7.87697152328538e-05,8.7755422250304e-06,8.27503101698737e-05,2.27776192963478e-05,5.735217124415e-05,6.89336478842715e-05,5.16941148968866e-05,3.40550495559313e-05,5.74816040344498e-05,4.67068851793747e-05,3.51723835488535e-05,4.98269346446401e-05,3.71852417255978e-05,7.59529535301387e-05,3.56393012946222e-05,2.12506175613732e-05,5.94060735161907e-06,1.45718206414488e-05,2.61179965912406e-05,1.28139204690169e-05,1.86325521114846e-05,1.81944796720745e-06,5.67613216175756e-05,4.51901074021988e-05,7.62714795346289e-05,6.88540404906584e-05,1.33566859848976e-05,4.93076417098632e-05,6.84925010855863e-05,5.33103850077449e-05,7.34896970693266e-05,1.59869755181245e-05,2.87398035694052e-05,5.66458662990049e-05,4.85892663351345e-05,2.36011360616113e-05,1.72457735246091e-05,6.28254927775575e-08,3.04946272033523e-05,8.81152096095343e-06,6.00468456115784e-05,8.21360878556205e-05,1.20142781739678e-05,7.20300940158394e-06,6.19557321081566e-05,2.23766948751704e-05,6.71701566569933e-05,7.0678752650685e-05,7.05050347546285e-05,7.81404459801579e-05,3.9470022257947e-05,6.35299377865138e-05,5.39428347783694e-06,8.08452566311011e-06,3.42614253638881e-05,1.21848806365342e-05,4.24614778314363e-05,4.23432731088091e-06,4.88158090768126e-05,2.55132690750463e-05,5.15009112064018e-05,4.91007618234174e-05,5.17974368028163e-05,6.70534029962983e-05,6.0396974517978e-05,8.14152035682131e-05,1.61782091055773e-07,5.3393455379912e-06,4.20555708608616e-05,6.13261608014033e-05,4.67757218280777e-06,3.69582895454033e-05,4.33400193741685e-05,3.8066989411432e-05,6.63322584489662e-05,7.50041905481009e-05,6.52506429514996e-05,1.13068988394295e-05,1.68200544423815e-05,3.69723825347141e-05,2.99012001551879e-05,6.88175455349341e-05,7.84451386715451e-06,2.09563424661497e-05,4.87893676140842e-06,7.34113318642686e-05,2.99404612676449e-05,5.63362359071384e-05,5.49155239673994e-05,3.74692682885396e-05,4.40596572508016e-05
